name,Type,Inference Score,label
Melatonin,therapeutic,64.44,1
Nicotine,therapeutic,57.53,1
Curcumin,therapeutic,54.57,1
notoginsenoside R1,therapeutic,50.91,1
Berberine,therapeutic,47.42,1
Rosiglitazone,therapeutic,44.53,1
Plant Preparations,therapeutic,44.51,1
Rivastigmine,therapeutic,44.1,1
Apigenin,therapeutic,43.07,1
Raloxifene Hydrochloride,therapeutic,39.18,1
Donepezil,therapeutic,37.96,1
Tadalafil,therapeutic,36.08,1
Ellagic Acid,therapeutic,33.61,1
Deferoxamine,therapeutic,33.06,1
Biological Products,therapeutic,32.42,1
Resveratrol,therapeutic,32.31,1
Acetylcholine,therapeutic,32.09,1
Mifepristone,therapeutic,32.01,1
Minocycline,therapeutic,31.51,1
Prodigiosin,therapeutic,31.14,1
5-Methoxypsoralen,therapeutic,31.13,1
Paroxetine,therapeutic,30.97,1
"Nanotubes, Carbon",therapeutic,30.96,1
Indomethacin,therapeutic,30.83,1
Niacin,therapeutic,30.42,1
Trichlorfon,therapeutic,30.07,1
Cannabidiol,therapeutic,29.95,1
Tolonium Chloride,therapeutic,29.85,1
"6,7-dihydroxyflavone",therapeutic,27.73,1
Plant Extracts,therapeutic,27.38,1
Galantamine,therapeutic,27.33,1
icariin,therapeutic,26.22,1
huperzine A,therapeutic,26.12,1
Ibuprofen,therapeutic,25.96,1
Memantine,therapeutic,25.79,1
Tacrine,therapeutic,24.83,1
bisdemethoxycurcumin,therapeutic,22.93,1
Haloperidol,therapeutic,22.71,1
Dronabinol,therapeutic,21.99,1
Vitamin D,therapeutic,21.24,1
Reserpine,therapeutic,20.83,1
sulindac sulfide,therapeutic,20.19,1
Physostigmine,therapeutic,19.89,1
Dipyridamole,therapeutic,18.39,1
entacapone,therapeutic,14.6,1
Thiourea,therapeutic,14.44,1
Androgens,therapeutic,13.93,1
tideglusib,therapeutic,13.41,1
puag-haad,therapeutic,13.29,1
"Heparin, Low-Molecular-Weight",therapeutic,12.19,1
Ginkgo biloba extract,therapeutic,11.89,1
Cholinesterase Inhibitors,therapeutic,11.04,1
Amphotericin B,therapeutic,10.21,1
Clioquinol,therapeutic,10.1,1
"N2-((2S)-2-(3,5-difluorophenyl)-2-hydroxyethanoyl)-N1-((7S)-5-methyl-6-oxo-6,7-dihydro-5H-dibenzo(b,d)azepin-7-yl)-L-alaninamide",therapeutic,9.84,1
Midazolam,therapeutic,9.74,1
"(22R, 25R)-20alpha-spirost-5-en-3beta-yl hexanoate",therapeutic,9.32,1
Kai-Xin-San,therapeutic,8.72,1
Fluvoxamine,therapeutic,8.02,1
Ceftriaxone,therapeutic,7.71,1
Tolcapone,therapeutic,7.46,1
"Anti-Inflammatory Agents, Non-Steroidal",therapeutic,6.63,1
1-(3-chlorophenyl)piperazine,therapeutic,6.55,1
Goserelin,therapeutic,6.51,1
Thioridazine,therapeutic,5.19,1
3-methyl-5-(1-methyl-2-pyrrolidinyl)isoxazole,therapeutic,4.76,1
Lecithins,therapeutic,4.25,1
DP 155,therapeutic,4.22,1
BMS 708163,therapeutic,3.99,1
Trazodone,therapeutic,3.84,1
Maprotiline,therapeutic,2.39,1
