name,disease,label,inference_score,proteins,smiles
4-Phenylbutyric Acid,Parkinson's Disease,1,43.59,DNM1L|GSTA4|HGF|HMOX1|HSPA1A|HSPA9|IL6|INS|MAP3K5|NQO1|PARK7|PINK1|PPARGC1A|PRKN|SLC38A2|SNCA|SOD1|SOD2|TH|TNF,C1=CC=C(C=C1)CCCC(=O)O
Sirolimus,Parkinson's Disease,1,34.02,ABCB1|BDNF|CP|CYP2E1|DNM1L|EDN1|ENO2|FGB|HMOX1|IGF1R|IGF2|IL6|INS|MAP2|MAPT|NQO1|PINK1|PPARGC1A|PRKN|SNCA|SOD1|SOD2|TNF,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
Levodopa,Parkinson's Disease,1,28.88,DDC|DRD1|DRD2|HMOX1|MAP3K5|NGF|PARK7|PINK1|PRKN|SLC6A3|SNCA|SOD1|SOD2|TH,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
Mangiferin,Parkinson's Disease,1,27.35,ABCB1|CYP2D6|CYP2E1|DNM1L|FBP1|HMOX1|IL6|INS|NGF|NQO1|PPARGC1A|SOD1|TNF,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O
Clozapine,Parkinson's Disease,1,26.97,ABCB1|BDNF|CYP2D6|DDC|DRD1|DRD2|GFAP|GSTM1|GSTP1|HMOX1|HSPA9|INS|LRRK2|MAOB|MTHFR|NECTIN2|PARK7|SLC18A2|SLC6A3|SOD1|SOD2|TH|TNF,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
Propranolol,Parkinson's Disease,1,24.32,ABCB1|CYP2D6|GFAP|HMOX1|IL6|INS|LRRK2|NGF|PARK7|PINK1|PPARGC1A|SLC18A2|SOD1|TNF,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
Eicosapentaenoic Acid,Parkinson's Disease,1,22.86,CYP2E1|GSTP1|HMOX1|IL6|NGF|NQO1|PPARGC1A|SOD1|TNF|TRPM2,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O
Selegiline,Parkinson's Disease,1,22.8,HMOX1|MAOA|MAOB|NQO1|PRKN|SNCA|SOD2|TH,CC(CC1=CC=CC=C1)N(C)CC#C
Eugenol,Parkinson's Disease,1,20.87,BDNF|CYP2D6|CYP2E1|DRD1|GSTM1|GSTP1|HMOX1|IL6|MAOA|MAP3K5|NQO1|RPL6|SOD1|SOD2|TNF,COC1=C(C=CC(=C1)CC=C)O
Aspirin,Parkinson's Disease,1,20.44,ABCB1|BDNF|CYP2E1|FGB|GDNF|GFAP|GSTM1|HGF|HMOX1|HSPA1A|IGF2|IGF2R|IL6|MTA1|NQO1|PPARGC1A|SNCA|SOD1|SOD2|TNF,CC(=O)OC1=CC=CC=C1C(=O)O
Roflumilast,Parkinson's Disease,1,19.48,BDNF|HMOX1|IL6|NGF|NQO1|SNCA|TNF,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F
Bromocriptine,Parkinson's Disease,1,17.75,ABCB1|BDNF|DRD2|GDNF|HMOX1|INS|NGF|SOD1|TNF,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
Pioglitazone,Parkinson's Disease,1,17.59,ABCB1|BDNF|CYP2E1|DDIT4|DRD1|EDN1|GSTP1|HMOX1|IL6|INS|MAOB|NQO1|PPARGC1A|SLC2A14|SOD1|SOD2|TNF,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
Nardosinone,Parkinson's Disease,1,17.31,SLC38A2|SNCA|TH|TNF,CC1CCC=C2C1(C3C(CC2=O)OOC3(C)C)C
Cabergoline,Parkinson's Disease,1,14.98,BDNF|DRD1|DRD2|GDNF|NGF,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
Carbidopa,Parkinson's Disease,1,14.06,DDC|DNM1L|MAOA|SNCA|TNF,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
Gabapentin,Parkinson's Disease,1,12.79,ABCB1|CNX99A|CP|CYP2E1|GPDH1|GSTM1|HMOX1|NQO1,C1CCC(CC1)(CC(=O)O)CN
Ketoconazole,Parkinson's Disease,1,12.64,ABCB1|CYP2D6|CYP2E1|GSTM1|GSTP1|HMOX1|IL6|INSR|NQO1|PPARGC1A|PRKN|SLC18A2|SOD1|TH|TNF,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
Domperidone,Parkinson's Disease,1,12.58,ABCB1|CYP2D6|DRD1|DRD2|IL6,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
Tranylcypromine,Parkinson's Disease,1,11.64,BDNF|CYP2D6|CYP2E1|HMOX1|MAOA,C1C(C1N)C2=CC=CC=C2
Desipramine,Parkinson's Disease,1,11.5,BDNF|CYP2D6|CYP2E1|IL6|TH|TNF,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
Minocycline,Parkinson's Disease,1,11.27,AIF1|GFAP|IL6|PRKN|SLC6A3|SOD2|TH|TNF,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C
Zonisamide,Parkinson's Disease,1,10.98,DRD1|GFAP|MAOB|TH,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
Estradiol,Parkinson's Disease,1,10.96,ABCB1|ADARB2|AIF1|ALDH2|BAG5|BDNF|BST1|CEACAM6|CP|CYP2E1|DDC|DDIT4|DNM1L|DRD1|DRD2|EDN1|ENO2|FBP1|FCER2|FGB|GDNF|GFAP|GSTA4|GSTM1|GSTP1|HBG1|HFE|HGF|HLA-DRA|HMOX1|HSPA1A|HSPA9|IGF1R|IGF2|IGF2R|IL6|INS|INSR|LRRK2|MAG|MAOA|MAOB|MAP2|MAP3K5|MAPT|MTA1|MTHFR|NCAPG2|NECTIN2|NGF|NOS1|NQO1|PARK7|PINK1|PPARGC1A|PRKN|RAB32|RPL14|RPL6|RPS8|SLC18A2|SLC2A14|SLC30A10|SLC38A2|SLC6A3|SNCA|SOD1|SOD2|TALDO1|TCL1B|TH|TNF|TRPM2|VPS35,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
Benserazide,Parkinson's Disease,1,10.64,DDC|DRD1|DRD2,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O
Quetiapine,Parkinson's Disease,1,10.27,ABCB1|BDNF|CYP2D6|DRD2|SOD1,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
Astemizole,Parkinson's Disease,1,9.78,HMOX1|MAOA|MAPT|PARK7|SOD2,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
Mirtazapine,Parkinson's Disease,1,9.64,ABCB1|DRD1|DRD2|IL6|TNF,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
Caffeine,Parkinson's Disease,1,9.63,BDNF|CYP2D6|CYP2E1|DRD2|EDN1|ENO2|GFAP|GSTP1|HSPA9|IGF1R|IGF2|IGF2R|IL6|INS|INSR|MAOA|MAPT|MTA1|NECTIN2|NQO1|PPARGC1A|RPS8|SLC38A2|SLC6A3|SOD1|SOD2|TH|TMEM230|TNF|VPS35,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
"6,7-Dihydroxyflavone",Parkinson's Disease,1,9.42,BDNF|HMOX1|SLC6A3,C1=CC=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3O2)O)O
Pergolide,Parkinson's Disease,1,9.09,DRD1|DRD2|GDNF|NGF,CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC
Rotigotine,Parkinson's Disease,1,8.15,DRD1|DRD2,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O
Apomorphine,Parkinson's Disease,1,7.86,DRD1|DRD2|GDNF|IL6,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
Entacapone,Parkinson's Disease,1,7.41,HMOX1|SNCA|SOD1,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N
Rivastigmine,Parkinson's Disease,1,7.37,BDNF|INSR|TNF,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C
Rasagiline,Parkinson's Disease,1,7.34,GDNF|MAOB,C#CCNC1CCC2=CC=CC=C12
Nootkatone,Parkinson's Disease,1,7.31,SNCA|TH,CC1CC(=O)C=C2C1(CC(CC2)C(=C)C)C
Pyridoxine,Parkinson's Disease,1,6.5,HMOX1|PPARGC1A|TNF,CC1=NC=C(C(=C1O)CO)CO
Aprepitant,Parkinson's Disease,1,5.88,SNCA|TH,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F
Ropinirole,Parkinson's Disease,1,5.42,DRD2|TNF,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
Pramipexole,Parkinson's Disease,1,5.39,DRD2|PPARGC1A,CCCNC1CCC2=C(C1)SC(=N2)N
Tolcapone,Parkinson's Disease,1,4.99,AIF1|CP|SNCA|SOD1|SOD2,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]
Safinamide,Parkinson's Disease,1,4.77,MAOB,CC(C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F
Orphenadrine,Parkinson's Disease,1,4.3,CYP2E1|GSTP1|HGF|HSPA1A|TRPM2,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
Amantadine,Parkinson's Disease,1,4.29,BDNF|MAP2,C1C2CC3CC1CC(C2)(C3)N
Piribedil,Parkinson's Disease,1,3.87,DRD2,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4
Diazepam,Parkinson's Disease,1,3.46,BDNF|HMOX1|SOD2,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
Lisuride,Parkinson's Disease,1,3.46,DRD2,CCN(CC)C(=O)NC1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
Benztropine,Parkinson's Disease,1,3.11,NECTIN2|SLC38A2|SLC6A3,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
